source_split,filename,filepath,x1,y1,x2,y2,width_px,height_px
raw_images,001.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\001.jpg,114.99005889892578,33.97355270385742,261.76043701171875,513.9742431640625,146.77037811279297,480.0006904602051
raw_images,002.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\002.jpg,114.45677947998047,198.23513793945312,964.8621215820312,556.7023315429688,850.4053421020508,358.4671936035156
raw_images,003.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\003.jpg,188.31338500976562,173.41465759277344,445.5375061035156,1166.5833740234375,257.22412109375,993.1687164306641
raw_images,004.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\004.jpg,290.2090148925781,217.41673278808594,784.2239379882812,577.125,494.0149230957031,359.70826721191406
raw_images,005.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\005.jpg,131.6540985107422,79.0451889038086,1011.5648193359375,625.3906860351562,879.9107208251953,546.3454971313477
raw_images,006.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\006.jpg,189.4270477294922,206.2001953125,1010.4189453125,588.4729614257812,820.9918975830078,382.27276611328125
raw_images,007.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\007.jpg,222.33961486816406,243.40623474121094,572.7035522460938,848.2109375,350.3639373779297,604.8047027587891
raw_images,008.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\008.jpg,123.19371032714844,180.73098754882812,505.3122863769531,858.5156860351562,382.1185760498047,677.7846984863281
raw_images,009.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\009.jpg,299.8592224121094,154.48960876464844,603.2797241210938,444.4305419921875,303.4205017089844,289.94093322753906
raw_images,010.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\010.jpg,193.57266235351562,157.6184539794922,1080.0426025390625,430.56854248046875,886.4699401855469,272.95008850097656
raw_images,011.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\011.jpg,244.97421264648438,21.83147430419922,1196.704345703125,556.8690185546875,951.7301330566406,535.0375442504883
raw_images,011.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\011.jpg,1193.239501953125,277.59466552734375,1454.5948486328125,743.2523193359375,261.3553466796875,465.65765380859375
raw_images,012.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\012.jpg,98.94023895263672,167.88592529296875,777.8115844726562,758.6494140625,678.8713455200195,590.7634887695312
raw_images,013.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\013.jpg,105.947021484375,243.60948181152344,748.0489501953125,947.0096435546875,642.1019287109375,703.4001617431641
raw_images,014.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\014.jpg,124.70207214355469,167.6267852783203,410.7881774902344,656.7435302734375,286.0861053466797,489.1167449951172
raw_images,015.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\015.jpg,116.56880950927734,253.24388122558594,943.528076171875,732.330810546875,826.9592666625977,479.08692932128906
raw_images,016.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\016.jpg,53.462528228759766,247.39109802246094,539.5403442382812,1218.8858642578125,486.0778160095215,971.4947662353516
raw_images,017.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\017.jpg,323.71630859375,147.6913604736328,597.1774291992188,685.600341796875,273.46112060546875,537.9089813232422
raw_images,018.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\018.jpg,201.09007263183594,97.52069091796875,700.1165161132812,1022.9774780273438,499.0264434814453,925.456787109375
raw_images,019.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\019.jpg,274.95123291015625,122.28719329833984,1043.62890625,547.2075805664062,768.6776733398438,424.9203872680664
raw_images,020.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\020.jpg,39.22492218017578,51.223548889160156,814.6544799804688,326.7729187011719,775.429557800293,275.5493698120117
raw_images,020.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\020.jpg,765.6744995117188,125.09447479248047,884.0,361.5850524902344,118.32550048828125,236.4905776977539
raw_images,021.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\021.jpg,227.46844482421875,235.23794555664062,912.4159545898438,977.685791015625,684.947509765625,742.4478454589844
raw_images,022.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\022.jpg,261.6104736328125,104.79801177978516,1156.2177734375,427.37725830078125,894.6072998046875,322.5792465209961
raw_images,023.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\023.jpg,254.1427764892578,108.03741455078125,1014.3456420898438,753.7088623046875,760.2028656005859,645.6714477539062
raw_images,024.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\024.jpg,463.32440185546875,2.300006628036499,760.213134765625,976.4771118164062,296.88873291015625,974.1771051883698
raw_images,025.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\025.jpg,266.06610107421875,129.65872192382812,757.1983642578125,934.2120361328125,491.13226318359375,804.5533142089844
raw_images,026.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\026.jpg,228.9075469970703,124.2044906616211,997.547607421875,778.564453125,768.6400604248047,654.3599624633789
raw_images,027.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\027.jpg,208.1173858642578,9.271467208862305,713.2064208984375,333.66522216796875,505.0890350341797,324.39375495910645
raw_images,028.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\028.jpg,47.09644317626953,21.30936622619629,288.5238952636719,956.6004028320312,241.42745208740234,935.291036605835
raw_images,029.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\029.jpg,123.80645751953125,115.16667175292969,437.32861328125,961.6300659179688,313.52215576171875,846.4633941650391
raw_images,030.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\030.jpg,198.73585510253906,231.67071533203125,821.2162475585938,681.0344848632812,622.4803924560547,449.36376953125
raw_images,031.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\031.jpg,488.5938415527344,129.63392639160156,866.7915649414062,1154.5435791015625,378.1977233886719,1024.909652709961
raw_images,032.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\032.jpg,224.64952087402344,83.63313293457031,507.28753662109375,861.7975463867188,282.6380157470703,778.1644134521484
raw_images,033.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\033.jpg,353.09912109375,298.8360900878906,1171.1055908203125,931.4779663085938,818.0064697265625,632.6418762207031
raw_images,034.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\034.jpg,342.89990234375,215.48931884765625,629.634521484375,568.4632568359375,286.734619140625,352.97393798828125
