source_split,filename,filepath,x1,y1,x2,y2,width_px,height_px,cluster,area_px,size_class
raw_images,001.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\001.jpg,114.99005889892578,33.97355270385742,261.76043701171875,513.9742431640625,146.77037811279297,480.0006904602051,1,70449.882833246,Fries
raw_images,002.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\002.jpg,114.45677947998048,198.23513793945312,964.8621215820312,556.7023315429688,850.4053421020508,358.4671936035156,2,304842.4164087598,Fingerling
raw_images,003.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\003.jpg,188.3133850097656,173.41465759277344,445.5375061035156,1166.5833740234375,257.22412109375,993.168716430664,0,255466.95018168536,Juvenile
raw_images,004.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\004.jpg,290.2090148925781,217.41673278808597,784.2239379882812,577.125,494.0149230957031,359.70826721191406,1,177701.25196358236,Fries
raw_images,005.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\005.jpg,131.6540985107422,79.0451889038086,1011.5648193359376,625.3906860351562,879.9107208251953,546.3454971313477,0,480735.2602004438,Juvenile
raw_images,006.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\006.jpg,189.4270477294922,206.2001953125,1010.4189453125,588.4729614257812,820.9918975830078,382.2727661132813,2,313842.84364564816,Fingerling
raw_images,007.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\007.jpg,222.3396148681641,243.4062347412109,572.7035522460938,848.2109375,350.3639373779297,604.8047027587891,1,211901.75700325775,Fries
raw_images,008.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\008.jpg,123.19371032714844,180.73098754882807,505.3122863769531,858.5156860351562,382.1185760498047,677.7846984863281,1,258994.1238539419,Fries
raw_images,009.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\009.jpg,299.8592224121094,154.48960876464844,603.2797241210938,444.4305419921875,303.4205017089844,289.94093322753906,1,87974.02342587104,Fries
raw_images,010.jpg,C:\Users\Alwan Fauzi\Documents\GitHub\finalfixpkl\Catfish_baby_images\010.jpg,193.5726623535156,157.6184539794922,1080.0426025390625,430.5685424804688,886.4699401855469,272.95008850097656,2,241962.04862710042,Fingerling
